"Address","Zip","District","TotalRecords","SevereConditions","DisplacementNotices","RedevelopPermits","ExemptionPermits","NoHeatComplaints","NoWaterComplaints","SewageComplaints","EvictionNotices","OpenUnresolved","YearsActive","Typology","chronic_severe","severe_plus_rdev","disp_plus_rdev"
"705 20TH PL S","98144","3","1","0","0","0","0","0","0","0","0","1","2021","Other","0","0","0"
"26 S HANFORD ST","98134","1","4","0","0","0","0","0","0","0","0","1","2010;2019","Other","0","0","0"
"13045 7TH AVE NW","98177","5","1","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"4020 PHINNEY AVE N","98103","6","2","0","0","0","0","0","0","0","0","0","2006","Other","0","0","0"
"709 18TH AVE S","98144","3","4","0","0","0","0","0","0","0","0","0","2014;2015;2021","Other","0","0","0"
"4704 42ND AVE SW","98116","1","1","0","0","0","0","0","0","0","0","1","2023","Other","0","0","0"
"1848 WESTLAKE AVE N","98109","7","8","0","0","2","0","0","0","0","0","1","2016;2024","Other","0","0","0"
"1913 6TH AVE W","98119","7","2","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"9259 57TH AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"5402 KIRKWOOD PL N","98103","6","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"2010 36TH AVE W","98199","6","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"4510 2ND AVE NE","98105","4","3","0","0","0","0","0","0","0","0","3","2018;2022","Other","0","0","0"
"2405 BOYLSTON AVE E","98102","3","4","0","0","0","0","0","0","0","0","0","2005;2007","Other","0","0","0"
"227 11TH AVE E","98102","3","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"4132 21ST AVE SW","98106","1","2","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"6416 SEAVIEW AVE NW","","6","4","0","0","0","0","0","0","0","0","1","2024;2025","Other","0","0","0"
"931 N 77TH ST","98103","6","2","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"855 NW 92ND ST","98117","5","1","0","0","0","0","0","0","0","0","0","2006","Other","0","0","0"
"4630 43RD AVE S","98118","2","2","0","0","0","0","1","0","0","0","0","2024","Other","0","0","0"
"3301 S NORFOLK ST","98118","2","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"739 N 72ND ST","98103","6","4","0","0","0","0","0","0","0","0","0","2005;2010","Other","0","0","0"
"8725 16TH AVE SW","98106","1","4","0","0","0","0","0","0","0","0","0","2016;2024","Other","0","0","0"
"2901 ALKI AVE SW","98116","1","1","0","0","0","0","0","0","0","0","1","2022","Other","0","0","0"
"242 32ND AVE","98122","3","1","0","0","0","0","0","0","0","0","1","2022","Other","0","0","0"
"6545 CLEOPATRA PL NW","98117","6","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"4471 WHITMAN AVE N","98103","4","1","0","1","0","0","0","0","0","0","0","2014","Other","0","0","0"
"5215 RENTON AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"11322 A MERIDIAN AVE N","98133","5","5","0","0","0","0","0","0","0","0","0","2022;2023","Other","0","0","0"
"1812 28TH AVE S","98144","2","3","0","0","0","0","0","0","0","0","0","2007;2008","Other","0","0","0"
"6704 51ST AVE S","98118","2","4","0","0","0","0","0","0","0","0","0","2015;2019","Other","0","0","0"
"2909 16TH AVE S","98144","2","2","0","0","0","0","0","0","0","0","0","2006;2020","Other","0","0","0"
"4625 S HOLDEN ST","98118","2","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"6515 15TH AVE NE","98115","4","5","0","0","0","0","0","0","0","0","0","2005;2006","Other","0","0","0"
"1801 30TH AVE W","98199","7","2","0","0","0","0","0","0","0","0","0","2007;2008","Other","0","0","0"
"425 17TH AVE E","98112","3","3","0","0","0","0","0","0","0","0","0","2009;2012","Other","0","0","0"
"5228 38TH AVE SW","98126","1","1","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"10333 LAKE CITY WAY NE","98125","5","5","0","0","0","0","0","0","0","0","0","2008;2013;2016;2017","Other","0","0","0"
"9032 13TH AVE SW","98106","1","2","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"4815 EVANSTON AVE N","98103","6","3","0","0","0","0","0","0","0","0","0","2019;2021","Other","0","0","0"
"1217 A 6TH AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"9008 17TH AVE NE","98115","5","1","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"2327 WALNUT AVE SW","","1","1","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"4122 SW SOUTHERN ST","98136","1","3","0","0","0","0","0","0","0","0","0","2004;2007","Other","0","0","0"
"2533 NE 92ND ST","98115","4","3","0","1","0","0","0","0","0","0","2","2021;2023","Other","0","0","0"
"931 LAKESIDE AVE S","98144","3","1","0","0","0","0","0","0","0","0","1","2016","Other","0","0","0"
"11309 LAKESIDE AVE NE","98125","5","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"12582 DENSMORE AVE N","98133","5","2","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"1201 DEXTER AVE N","98109","7","3","0","0","0","0","0","0","0","0","1","2008;2012;2025","Other","0","0","0"
"10824 34TH AVE SW","98146","1","3","0","0","0","0","0","0","0","0","2","2025","Other","0","0","0"
"3039 39TH AVE SW","98116","1","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"8638 55TH AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"5659 S AVON ST","98178","2","3","0","0","0","0","0","0","0","0","0","2016;2017","Other","0","0","0"
"2115 23RD AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"5926 23RD AVE S","98108","2","5","0","0","0","0","0","0","0","0","1","2015;2023","Other","0","0","0"
"1223 NW 83RD ST","98117","6","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"602 18TH AVE E","98112","3","1","0","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"619 PROSPECT ST","98109","7","1","0","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"730 25TH AVE S","98144","3","1","0","1","0","0","0","0","0","0","0","2015","Other","0","0","0"
"3638 A 36TH AVE S","98144","2","2","0","0","0","0","0","0","0","0","0","2024;2025","Other","0","0","0"
"3440 25TH AVE W","98199","7","1","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"2218 N 41ST ST","98103","4","2","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"4321 SW FLETCHER ST","","1","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"13058 12TH AVE NW","98177","5","1","0","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"315 14TH AVE E","98112","3","2","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"9009 CORLISS AVE N","98103","5","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"9448 18TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"9501 20TH AVE NE","98115","5","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"2403 NW MARKET ST","98107","6","1","0","0","0","0","0","0","0","0","1","2019","Other","0","0","0"
"9220 37TH AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"923 28TH S","","","2","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"3432 63RD AVE SW","98116","1","2","0","0","0","0","0","0","0","0","0","2018;2023","Other","0","0","0"
"3802 55TH AVE SW","98116","1","3","0","0","0","0","0","0","0","0","1","2018;2019;2020","Other","0","0","0"
"510 LEE ST","","7","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"717 N 109TH ST","98133","5","2","0","0","0","0","0","0","0","0","0","2005;2006","Other","0","0","0"
"9639 56TH AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"2638 W LYNN ST","98199","7","1","0","0","0","0","0","0","0","0","1","2021","Other","0","0","0"
"8046 40TH AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"207 1ST AVE S","98104","1","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"1930 NE 135TH ST","98125","5","1","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"4507 S TRENTON ST","98118","2","4","0","0","0","0","0","0","0","0","0","2009;2017;2018","Other","0","0","0"
"9262 RAINEER AVE S","","","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"7032 20TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"3006 12TH AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"7542 34TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"6821 28TH AVE NE","98115","4","2","0","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"9415 21ST AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"8427 16TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"2302 W LYNN ST","98199","7","2","0","0","0","0","0","0","0","0","0","2014;2015","Other","0","0","0"
"1314 E PIKE ST","98122","3","3","0","0","0","0","0","0","0","0","0","2004;2007","Other","0","0","0"
"2120 NE 75TH ST","98115","4","2","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"2301 23RD AVE S","98144","2","2","0","0","0","0","0","0","0","0","0","2020;2024","Other","0","0","0"
"944 N 78TH ST","98103","6","1","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"10710 63RD AVE S","98178","2","2","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"2215 S ORCAS ST","98108","2","2","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"1101 29TH AVE S","98144","3","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"878 E GWINN PL","98102","3","1","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"2230 NW 60TH ST","","6","5","0","0","0","0","0","0","0","0","0","2024;2025","Other","0","0","0"
"5520 25TH AVE NE","98105","4","1","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"415 NW 101ST ST","98177","5","5","0","0","0","0","0","0","0","0","1","2019;2020;2021","Other","0","0","0"
"115 S ORCAS ST","98108","1","2","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"2431 55TH AVE SW","98116","1","2","0","1","0","0","0","0","0","0","1","2011;2018","Other","0","0","0"
"1406 MCGILVRA BLVD E","98112","3","2","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"336 NW 83RD ST","98117","6","5","0","0","0","0","0","0","0","0","2","2021;2022;2024;2025","Other","0","0","0"
"4400 ROXBURY PL SW","98136","","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"550 W MERCER ST","","7","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"4212 NE 110TH ST","98125","5","2","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"3714 S HUDSON ST","98118","2","4","0","0","0","0","0","0","0","0","0","2014;2015","Other","0","0","0"
"2802 NW 71ST ST","98117","6","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"2428 36TH AVE W","98199","6","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"2105 NE 73RD ST","98115","4","3","0","0","0","0","0","0","0","0","0","2014;2019","Other","0","0","0"
"4580 NE 88TH PL","98115","5","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"7351 40TH AVE NE","98115","4","8","0","0","0","0","0","3","0","0","2","2004;2014;2017;2022","UtilityLever","0","0","0"
"2736 S ELMWOOD PL","98144","3","2","0","0","0","0","0","0","1","0","0","2016;2018","Other","0","0","0"
"423 N 120TH ST","98133","5","1","0","0","0","0","0","0","0","0","1","2022","Other","0","0","0"
"1222 SW WEBSTER ST","98106","1","7","0","0","0","0","0","0","0","0","2","2015;2016;2023;2024","Other","0","0","0"
"7029 RAVENNA AVE NE","98115","4","1","0","0","0","0","0","0","0","0","1","2023","Other","0","0","0"
"2627 NW 57TH ST","98107","6","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"11518 25TH AVE NE","98125","5","6","0","0","0","0","0","0","0","0","0","2005;2006;2007;2020","Other","0","0","0"
"3319 31ST AVE SW","98126","1","2","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"2527 NE 110TH ST","98125","5","2","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"1509 E MERCER ST","98112","3","11","0","2","0","0","0","0","0","1","5","2018;2019;2022;2023;2024","Other","0","0","0"
"2223 39TH AVE E","98112","3","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"8704 WABASH AVE S","98118","2","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"2110 N 77TH ST","98103","6","2","0","0","0","0","0","0","0","0","0","2004;2008","Other","0","0","0"
"8717 31ST AVE NW","98117","6","2","0","0","0","0","0","0","0","0","0","2017;2022","Other","0","0","0"
"1532 30TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"14321 INTERLAKE AVE N","98133","5","1","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"6925 ELLIS AVE S","98108","1","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"7721 31ST AVE NE","98115","4","5","0","0","0","0","0","0","0","0","0","2004;2006","Other","0","0","0"
"3605 NE 115TH ST","98125","5","2","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"2538 DEXTER AVE N","98109","7","4","0","0","0","0","0","0","0","0","0","2020;2022;2023","Other","0","0","0"
"4845 DELRIDGE WAY SW","98106","1","2","0","0","0","0","0","0","0","0","0","2007;2022","Other","0","0","0"
"10038 13TH AVE NW","98177","5","3","0","0","0","0","0","0","0","0","1","2007;2011;2023","Other","0","0","0"
"601 DEXTER AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"413 11TH AVE","98122","2","9","0","2","0","0","0","0","0","1","2","2010;2011;2023;2024;2025","Other","0","0","0"
"4726 15TH AVE NE","98105","4","34","0","1","0","0","0","0","0","0","4","2017;2019;2020;2023;2024;2025","Other","0","0","0"
"3837 37TH AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"5733 S NORFOLK ST","98118","2","7","0","0","0","0","0","0","0","0","1","2004;2017;2025","Other","0","0","0"
"3414 24TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"2718 20TH AVE S","98144","2","4","0","0","0","0","0","0","0","0","0","2009;2010;2012;2022","Other","0","0","0"
"4600 UNION BAY PL NE","98105","4","2","0","0","0","0","0","0","0","0","1","2020;2022","Other","0","0","0"
"3043 21ST AVE W","98199","7","2","0","0","0","0","0","0","0","0","1","2017;2018","Other","0","0","0"
"5802 4TH AVE NW","98107","6","2","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"4515 21ST AVE NE","","4","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"1423 NE 63RD ST","98115","4","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"1716 26TH AVE","98122","3","5","0","0","0","0","0","0","0","0","0","2015;2024","Other","0","0","0"
"3180 NE 82ND ST","98115","4","5","0","1","0","0","0","0","0","0","0","2009;2016","Other","0","0","0"
"1715 E UNION ST","98122","3","3","0","0","0","0","0","0","0","0","0","2007;2025","Other","0","0","0"
"3609 S FINDLAY ST","98118","2","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"13056 25TH AVE NE","98125","5","1","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"3047 ALKI AVE SW","98116","1","2","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"5071 DELRIDGE WAY SW","98106","1","2","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"3621 STONE WAY N","98103","4","1","0","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"5511 7TH AVE NW","98107","6","1","0","0","0","0","0","0","0","0","1","2018","Other","0","0","0"
"508 12TH AVE E","","3","2","0","0","0","0","0","0","0","0","0","2022;2023","Other","0","0","0"
"4018 SW DONOVAN ST","98136","1","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"5105 27TH AVE NE","98105","4","2","0","0","0","0","0","0","0","0","0","2006","Other","0","0","0"
"906 22ND AVE","98122","3","3","0","0","0","0","0","0","0","0","1","2022","Other","0","0","0"
"4848 FAUNTLEROY WAY SW","98116","1","2","0","1","0","0","0","0","0","0","0","2007;2015","Other","0","0","0"
"1206 QUEEN ANNE AVE N","98109","7","4","0","0","0","0","0","0","0","0","0","2018;2021","Other","0","0","0"
"2234 E MCGRAW ST","98112","3","1","0","1","0","0","0","0","0","0","0","2003","Other","0","0","0"
"1318 E UNION ST","98122","3","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"4912 28TH AVE S","98108","2","1","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"5610 WILSON AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"9312 46TH AVE SW","98136","1","4","0","1","0","0","0","0","0","0","3","2020","Other","0","0","0"
"333 30TH AVE S","98144","3","6","0","0","0","0","0","0","0","0","3","2009;2014;2021;2022;2025","Other","0","0","0"
"3421 15TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"8517 17TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"1125 B 18TH AVE","98122","3","3","0","0","0","0","0","0","0","0","0","2018;2021","Other","0","0","0"
"14342 22ND AVE NE","98125","5","5","0","0","0","0","0","0","0","0","0","2023;2024","Other","0","0","0"
"2018 W DRAVUS ST","98199","7","2","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"6814 OSWEGO PL NE","98115","6","1","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"2911 WARREN AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"6908 28TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"8727 25TH AVE NW","98117","6","2","0","0","0","0","0","0","0","0","1","2015;2019","Other","0","0","0"
"1509 30TH AVE","","3","2","0","0","0","0","0","0","0","0","1","2022;2024","Other","0","0","0"
"3629 1ST AVE NW","98107","6","3","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"4211 S MEAD ST","98118","2","2","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"1702 14TH AVE","98122","3","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"1601 CALIFORNIA AVE SW","98116","1","1","0","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"4130 UNIVERSITY WAY NE","98105","4","2","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"1023 PIKE ST","98101","3","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"5403 13TH AVE S","98108","2","2","0","0","0","0","0","0","0","0","0","2022;2023","Other","0","0","0"
"1422 MADRONA DR","98122","3","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"9515 19TH AVE NW","98117","5","2","0","0","0","0","0","0","0","0","0","2020;2021","Other","0","0","0"
"9101 M L KING JR WAY S","98118","2","2","0","0","0","0","0","0","0","0","0","2005;2007","Other","0","0","0"
"622 S LANE ST","98104","2","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"3321 SW 102ND ST","98146","1","9","0","0","0","0","0","0","0","0","0","2009;2021;2022;2023;2024","Other","0","0","0"
"161 20TH AVE","98122","3","5","0","0","0","0","0","0","0","0","0","2012;2014","Other","0","0","0"
"3821 46TH AVE NE","98105","4","4","0","0","0","0","0","0","0","0","0","2005;2009","Other","0","0","0"
"5065 8TH AVE NE","98105","4","2","0","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"1226 5TH AVE N","","7","1","0","0","0","0","0","0","0","0","1","2018","Other","0","0","0"
"2313 E OLIVE ST","98122","3","1","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"3234 25TH AVE W","98199","7","2","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"3150 W GOVERNMENT WAY","98199","6","10","0","0","0","0","0","0","0","0","0","2005;2007;2009;2018;2019","Other","0","0","0"
"2217 2ND AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"9029 35TH AVE SW","98126","1","3","0","0","0","0","0","0","0","0","0","2012;2014;2020","Other","0","0","0"
"1921 1ST AVE","98101","7","14","0","0","0","0","0","0","0","0","0","2006;2007;2018;2021","Other","0","0","0"
"6333 NE WINDERMERE RD","98105","4","2","0","0","0","0","0","0","0","0","1","2021","Other","0","0","0"
"1920 N 46TH ST","98103","4","1","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"8513 16TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"5229 FAUNTLEROY WAY SW","98136","1","1","0","1","0","0","0","0","0","0","1","2025","Other","0","0","0"
"10450 57TH AVE S","98178","2","1","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"3233 NW 62ND ST","98107","6","3","0","0","0","0","0","0","0","0","1","2004;2023","Other","0","0","0"
"5910 PHINNEY AVE N","98103","6","2","0","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"1411 1ST AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"5041 37TH AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"5615 3RD AVE NW","98107","6","2","0","0","0","0","0","0","0","0","1","2006;2016","Other","0","0","0"
"6730 ALONZO AVE NW","98117","6","4","0","2","0","0","0","0","0","0","0","2022;2023;2024","Other","0","0","0"
"706 N 74TH ST","98103","6","2","0","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"2802 E UNION ST","98122","3","2","0","1","0","0","0","0","0","1","1","2017;2023","Other","0","0","0"
"7549 15TH AVE NW","98117","6","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"5801 32ND AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","2010;2021","Other","0","0","0"
"1420 36TH AVE","98122","3","1","0","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"4545 SAND POINT WAY NE","98105","4","3","0","0","0","0","0","0","0","0","0","2012;2021","Other","0","0","0"
"8354 WABASH AVE S","98118","2","4","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"7501 24TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"800 W EMERSON ST","98119","7","2","0","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"2233 BOYLSTON AVE E","98102","3","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"7601 GREENWOOD AVE N","98103","6","4","0","0","0","0","0","0","0","0","0","2009;2010;2017","Other","0","0","0"
"1020 E SHELBY ST","","3","1","0","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"915 N 83RD ST","98103","6","2","0","0","0","0","0","0","0","0","0","2009;2012","Other","0","0","0"
"712 15TH AVE","98122","3","1","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"3818 W PARKMONT PL","98199","6","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"5540 30TH AVE NE","98105","4","2","0","0","0","0","0","0","0","0","0","2019;2020","Other","0","0","0"
"722 20TH AVE","98122","3","1","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"1135 N 93RD ST","98103","5","1","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"3233 NW MARKET ST","98107","6","1","0","1","0","0","0","0","0","0","0","2015","Other","0","0","0"
"1832 NE RAVENNA BLVD","98105","4","2","0","0","0","0","0","0","0","0","0","2020;2021","Other","0","0","0"
"2010 8TH AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"5136 NE 75TH STREET","","","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"6983 24TH AVE SW","98106","1","2","0","0","0","0","0","0","0","0","0","2020;2022","Other","0","0","0"
"4708 51ST AVE SW","98116","1","1","0","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"9209 RENTON AVE S","98118","2","4","0","0","0","0","0","0","0","0","0","2018;2020","Other","0","0","0"
"3615 PHINNEY AVE N","98103","6","1","0","1","0","0","0","0","0","0","0","2006","Other","0","0","0"
"3003 31ST AVE W","98199","6","2","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"1107 21ST AVE E","98112","3","1","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"917 F NW 51ST ST","98107","6","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"3450 16TH AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"2121 30TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"10164 HOLMAN RD NW","98177","5","1","0","0","0","0","0","0","0","0","1","2021","Other","0","0","0"
"1615 N 145TH ST","98133","5","4","0","0","0","0","0","0","0","0","0","2013;2014","Other","0","0","0"
"800 NE 42ND ST","98105","4","8","0","1","0","0","0","0","0","0","2","2007;2015;2022;2023;2024","Other","0","0","0"
"5743 33RD AVE NE","98105","4","2","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"957 HARVARD AVE E","","3","1","0","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"9437 13TH AVE SW","98106","1","2","0","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"7312 26TH AVE NW","98117","6","2","0","0","0","0","0","0","0","0","0","2007;2016","Other","0","0","0"
"1512 5TH AVE","98101","7","5","0","0","0","0","0","0","0","0","1","2023;2024","Other","0","0","0"
"815 SW CLOVERDALE ST","98106","1","7","0","0","0","0","0","0","0","0","3","2025","Other","0","0","0"
"2122 CALIFORNIA AVE SW","","1","4","0","0","0","0","0","0","0","0","0","2021;2022","Other","0","0","0"
"4915 NE 85TH ST","98115","4","4","0","0","0","0","0","0","0","0","1","2007;2008;2022","Other","0","0","0"
"502 25TH AVE","98122","3","1","0","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"7317 51ST AVE NE","","4","1","0","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"8644 35TH AVE SW","98126","1","3","0","0","0","0","0","0","0","0","0","2006;2007","Other","0","0","0"
"4128 EASTERN AVE N","98103","4","1","0","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"400 SW CLOVERDALE ST","98106","1","3","0","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"1421 36TH AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"1869 MCGILVRA BLVD E","","3","2","0","0","0","0","0","0","0","0","0","2023;2024","Other","0","0","0"
"2272 GILMAN DR W","98119","7","2","0","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"210 S LUCILE ST","98108","1","1","0","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"301 4TH AVE S","98104","1","9","0","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"7211 DAYTON AVE N","98103","6","2","0","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"6300 34TH AVE SW","98126","1","1","0","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"6522 35TH AVE NE","98115","4","2","0","0","0","0","0","0","0","0","0","2018;2025","Other","0","0","0"
