category,rrio_status,address,district,lt_complaints,verified,unverified,unverified_pct,open,sha_flag,units,contact,reg_number
UNREGISTERED,NOT REGISTERED,3233 BELVIDERE AVE SW,D1,5,3,1,20.0,1,,,,
UNREGISTERED,NOT REGISTERED,9805 35TH AVE SW,D1,5,2,3,60.0,0,,,,
UNREGISTERED,NOT REGISTERED,4036 35TH AVE SW,D1,5,1,2,40.0,2,,,,
UNREGISTERED,NOT REGISTERED,7319 16TH AVE SW,D1,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,6249 FLORA AVE S,D1,5,3,1,20.0,1,,,,
UNREGISTERED,NOT REGISTERED,4500 BEACH DR SW,D1,5,1,4,80.0,0,,,,
UNREGISTERED,NOT REGISTERED,4316 30TH AVE SW,D1,5,3,2,40.0,0,YES,,,
UNREGISTERED,NOT REGISTERED,6339 34TH AVE SW,D1,5,2,2,40.0,1,,,,
UNREGISTERED,NOT REGISTERED,4812 46TH AVE SW,D1,5,4,1,20.0,0,,,,
UNREGISTERED,NOT REGISTERED,4700 36TH AVE SW,D1,5,0,5,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,6656 CORSON AVE S,D1,5,2,3,60.0,0,,,,
UNREGISTERED,NOT REGISTERED,811 MAYNARD AVE S,D1,5,0,5,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,2444 SW HOLDEN ST,D1,5,1,4,80.0,0,,,,
UNREGISTERED,NOT REGISTERED,4423 45TH AVE SW,D1,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,4056 DELRIDGE WAY SW,D1,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,9000 20TH AVE SW,D1,5,5,0,0.0,0,,,,
UNREGISTERED,NOT REGISTERED,9743 RAINIER AVE S,D2,5,1,3,60.0,1,,,,
UNREGISTERED,NOT REGISTERED,4202 RAINIER AVE S,D2,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,5007 37TH AVE S,D2,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,9726 BEACON AVE S,D2,5,0,4,80.0,1,,,,
UNREGISTERED,NOT REGISTERED,9205 RENTON AVE S,D2,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,3503 S HUDSON ST,D2,5,2,3,60.0,0,,,,
UNREGISTERED,NOT REGISTERED,5208 15TH AVE S,D2,5,5,0,0.0,0,,,,
UNREGISTERED,NOT REGISTERED,9692 RAINIER AVE S,D2,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,3836 RENTON AVE S,D2,5,2,3,60.0,0,,,,
UNREGISTERED,NOT REGISTERED,1214 S HOLGATE ST,D2,5,1,4,80.0,0,,,,
UNREGISTERED,NOT REGISTERED,3830 M L KING JR WAY S,D2,5,0,5,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,2016 23RD AVE S,D2,5,2,3,60.0,0,,,,
UNREGISTERED,NOT REGISTERED,7009 RAINIER AVE S,D2,5,1,4,80.0,0,,,,
UNREGISTERED,NOT REGISTERED,1755 17TH AVE S,D2,5,1,3,60.0,1,,,,
UNREGISTERED,NOT REGISTERED,2304 S HILL ST,D2,5,0,5,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,11430 69TH PL S,D2,5,1,4,80.0,0,,,,
UNREGISTERED,NOT REGISTERED,3728 S MYRTLE ST,D2,5,1,4,80.0,0,,,,
UNREGISTERED,NOT REGISTERED,2340 30TH AVE S,D2,5,0,3,60.0,2,,,,
UNREGISTERED,NOT REGISTERED,1315 14TH AVE S,D2,5,3,2,40.0,0,,,,
UNREGISTERED,NOT REGISTERED,4811 S HENDERSON ST,D2,5,3,1,20.0,1,YES,,,
UNREGISTERED,NOT REGISTERED,9043 46TH AVE S,D2,5,1,4,80.0,0,,,,
UNREGISTERED,NOT REGISTERED,3114 22ND AVE S,D2,5,2,3,60.0,0,,,,
UNREGISTERED,NOT REGISTERED,3926 S JUNEAU ST,D2,5,0,5,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,1011 BELMONT AVE E,D3,5,2,2,40.0,1,,,,
